nom,note,photo,lien,prix
APPLE iPhone 11 128Go Blanc - Reconditionné - Excellent état,Score global : 4 étoiles sur 5,https://www.cdiscount.com/pdt2/6/0/9/1/300x300/app3344658217609/rw/apple-iphone-11-128go-blanc-reconditionne-exce.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/apple-iphone-11-128go-blanc-reconditionne-exce/f-1440402-app3344658217609.html?idOffre=2669188183#mpos=0|mp&sw=5836fe6170e8051cd0d3a2cf9e690fc59fdedc699cc4a5ec0c6772f583d1f41c273a93e655ed6d22521729fe4c924e895080ebd10ae92bee83fd06218c7d9b887ba5573c7b7e0347a2b08237dd967c3be6a20532415e24efa2cf53028dea00e858771b037e99fc47df423702ad3e53afc935ff1e8986baaf8bde3becf5cfc372,278€54
APPLE iPhone 11 64Go Noir - Reconditionné - Excellent état,Score global : 4 étoiles sur 5,https://www.cdiscount.com/pdt2/9/6/4/1/300x300/app3344707843964/rw/apple-iphone-11-64go-noir-reconditionne-excell.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/apple-iphone-11-64go-noir-reconditionne-excell/f-1440402-app3344707843964.html?idOffre=2657266600#mpos=0|mp&sw=5836fe6170e8051cd0d3a2cf9e690fc5eca78dd4703cfa9b7f45658151e9d69886e67bb4d338273ae1957f39ecf5b3a7e44ea1b705b8242c9628795e04b7e684eeb70174736acda9b25f8df412ff2a6c52c4f9fffcfacb5a9bafd5cf23af1b8f28ba5c382a266c1ea93a879451579233173896523397c6853019dc55422b7804,288€00
APPLE iPhone 12 128Go Blanc - Reconditionné - Excellent état,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/4/c/n/1/300x300/rcdbycds044cn/rw/apple-iphone-12-128go-blanc-reconditionne-exce.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/apple-iphone-12-128go-blanc-reconditionne-exce/f-1440402-rcdbycds044cn.html?idOffre=2669188193#mpos=0|mp&sw=5836fe6170e8051cd0d3a2cf9e690fc59fdedc699cc4a5ec0c6772f583d1f41c273a93e655ed6d22521729fe4c924e89dfb50f92711aa9a5bf5e05aff6753c5039ae57871fe7b77d1ef6a456ca18986716f21880e8d88d4ca30f75ef5c1b58cf261373ecb98099fbd857314c1287a4b28879db68a010a7b2fe46ca3f5a680b84,329€69
APPLE iPhone 11 256 Go Blanc - Reconditionné - Excellent état,"Score global : 3,5 étoiles sur 5",https://www.cdiscount.com/pdt2/8/4/4/1/300x300/app3344828846844/rw/apple-iphone-11-256-go-blanc-reconditionne-exc.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/apple-iphone-11-256-go-blanc-reconditionne-exc/f-1440402-app3344828846844.html?idOffre=2927903094#mpos=0|mp&sw=5836fe6170e8051cd0d3a2cf9e690fc59dcd54a519211cb01bfbb371f0d1b27aac3a6689784e139588e866c62815a6422847292c732fe2095627ee4815e26ceae7420a2e6b911f00d03154ad8f2e21df310a649ceeafb831afdf69748339d350a90e6d8ee51d7e3ea83b5dd943da9ae749c7e2ec8772cad9fd765de23fad791f,350€00
APPLE iPhone 11 128Go Noir - Reconditionné - Excellent état,Score global : 4 étoiles sur 5,https://www.cdiscount.com/pdt2/9/2/0/1/300x300/app3344146275920/rw/apple-iphone-11-128go-noir-reconditionne-excel.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/apple-iphone-11-128go-noir-reconditionne-excel/f-1440402-app3344146275920.html?idOffre=2306060342#mpos=0|mp&sw=5836fe6170e8051cd0d3a2cf9e690fc5e5690b854f109d0e7a0293ad603fd6b36823614b1f195ac8047cd53d37f95773dc66eee5358c89efe91b5c61daf97c134da48c6fe763550eb19cc16b347755fe0f31e61b616ab46a51f32dc4fa605c89aa450fe9eff342a20982b1cef67cce37,399€99
iPhone 11 64Go White,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/a/n/2/1/300x300/iphone1164blan2/rw/iphone-11-64go-white.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/iphone-11-64go-white/f-1440402-iphone1164blan2.html#mpos=0|cd,529€00
iPhone 11 128Go White,Score global : 5 étoiles sur 5,https://www.cdiscount.com/pdt2/5/3/7/1/300x300/app0194252099537/rw/iphone-11-128go-white.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/iphone-11-128go-white/f-1440402-app0194252099537.html#mpos=0|cd,599€00
iPhone 11 64Go Black,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/3/6/6/1/300x300/app0194252097366/rw/iphone-11-64go-black.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/iphone-11-64go-black/f-1440402-app0194252097366.html#mpos=0|cd,619€99
iPhone 11 128Go Black,Score global : 5 étoiles sur 5,https://www.cdiscount.com/pdt2/2/2/3/1/300x300/app0194252099223/rw/iphone-11-128go-black.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/iphone-11-128go-black/f-1440402-app0194252099223.html#mpos=0|cd,599€00
iPhone 13 128Go Midnight,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/2/8/9/1/300x300/app0194252707289/rw/iphone-13-128go-midnight.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/iphone-13-128go-midnight/f-1440402-app0194252707289.html#mpos=0|cd,699€00
